name,type,output_shape,params,trainable,params_human,trainable_human
initial.0,Conv2d,"(1, 64, 128, 128)",3136,3136,"3,136","3,136"
initial.1,LeakyReLU,"(1, 64, 128, 128)",0,0,0,0
initial,Sequential,"(1, 64, 128, 128)",0,0,0,0
model.0.0,Conv2d,"(1, 128, 64, 64)",131072,131072,"131,072","131,072"
model.0.1,InstanceNorm2d,"(1, 128, 64, 64)",0,0,0,0
model.0.2,LeakyReLU,"(1, 128, 64, 64)",0,0,0,0
model.0,Sequential,"(1, 128, 64, 64)",0,0,0,0
model.1.0,Conv2d,"(1, 256, 32, 32)",524288,524288,"524,288","524,288"
model.1.1,InstanceNorm2d,"(1, 256, 32, 32)",0,0,0,0
model.1.2,LeakyReLU,"(1, 256, 32, 32)",0,0,0,0
model.1,Sequential,"(1, 256, 32, 32)",0,0,0,0
model.2.0,Conv2d,"(1, 512, 31, 31)",2097152,2097152,"2,097,152","2,097,152"
model.2.1,InstanceNorm2d,"(1, 512, 31, 31)",0,0,0,0
model.2.2,LeakyReLU,"(1, 512, 31, 31)",0,0,0,0
model.2,Sequential,"(1, 512, 31, 31)",0,0,0,0
model.3,Conv2d,"(1, 1, 30, 30)",8193,8193,"8,193","8,193"
model,Sequential,"(1, 1, 30, 30)",0,0,0,0
Discriminator,Discriminator,"(1, 1, 30, 30)",0,0,0,0
