name,type,output_shape,params,trainable,params_human,trainable_human
initial_down.0,Conv2d,"(1, 64, 128, 128)",2112,2112,"2,112","2,112"
initial_down.1,LeakyReLU,"(1, 64, 128, 128)",0,0,0,0
initial_down,Sequential,"(1, 64, 128, 128)",0,0,0,0
down1.conv.0,Conv2d,"(1, 128, 64, 64)",131072,131072,"131,072","131,072"
down1.conv.1,InstanceNorm2d,"(1, 128, 64, 64)",0,0,0,0
down1.conv.2,LeakyReLU,"(1, 128, 64, 64)",0,0,0,0
down1.conv,Sequential,"(1, 128, 64, 64)",0,0,0,0
down1,UNetBlock,"(1, 128, 64, 64)",0,0,0,0
down2.conv.0,Conv2d,"(1, 256, 32, 32)",524288,524288,"524,288","524,288"
down2.conv.1,InstanceNorm2d,"(1, 256, 32, 32)",0,0,0,0
down2.conv.2,LeakyReLU,"(1, 256, 32, 32)",0,0,0,0
down2.conv,Sequential,"(1, 256, 32, 32)",0,0,0,0
down2,UNetBlock,"(1, 256, 32, 32)",0,0,0,0
down3.conv.0,Conv2d,"(1, 512, 16, 16)",2097152,2097152,"2,097,152","2,097,152"
down3.conv.1,InstanceNorm2d,"(1, 512, 16, 16)",0,0,0,0
down3.conv.2,LeakyReLU,"(1, 512, 16, 16)",0,0,0,0
down3.conv,Sequential,"(1, 512, 16, 16)",0,0,0,0
down3,UNetBlock,"(1, 512, 16, 16)",0,0,0,0
down4.conv.0,Conv2d,"(1, 512, 8, 8)",4194304,4194304,"4,194,304","4,194,304"
down4.conv.1,InstanceNorm2d,"(1, 512, 8, 8)",0,0,0,0
down4.conv.2,LeakyReLU,"(1, 512, 8, 8)",0,0,0,0
down4.conv,Sequential,"(1, 512, 8, 8)",0,0,0,0
down4,UNetBlock,"(1, 512, 8, 8)",0,0,0,0
down5.conv.0,Conv2d,"(1, 512, 4, 4)",4194304,4194304,"4,194,304","4,194,304"
down5.conv.1,InstanceNorm2d,"(1, 512, 4, 4)",0,0,0,0
down5.conv.2,LeakyReLU,"(1, 512, 4, 4)",0,0,0,0
down5.conv,Sequential,"(1, 512, 4, 4)",0,0,0,0
down5,UNetBlock,"(1, 512, 4, 4)",0,0,0,0
down6.conv.0,Conv2d,"(1, 512, 2, 2)",4194304,4194304,"4,194,304","4,194,304"
down6.conv.1,InstanceNorm2d,"(1, 512, 2, 2)",0,0,0,0
down6.conv.2,LeakyReLU,"(1, 512, 2, 2)",0,0,0,0
down6.conv,Sequential,"(1, 512, 2, 2)",0,0,0,0
down6,UNetBlock,"(1, 512, 2, 2)",0,0,0,0
bottleneck.0,Conv2d,"(1, 512, 1, 1)",4194816,4194816,"4,194,816","4,194,816"
bottleneck.1,ReLU,"(1, 512, 1, 1)",0,0,0,0
bottleneck,Sequential,"(1, 512, 1, 1)",0,0,0,0
up1.conv.0,ConvTranspose2d,"(1, 512, 2, 2)",4194304,4194304,"4,194,304","4,194,304"
up1.conv.1,InstanceNorm2d,"(1, 512, 2, 2)",0,0,0,0
up1.conv.2,ReLU,"(1, 512, 2, 2)",0,0,0,0
up1.conv,Sequential,"(1, 512, 2, 2)",0,0,0,0
up1.dropout,Dropout,"(1, 512, 2, 2)",0,0,0,0
up1,UNetBlock,"(1, 512, 2, 2)",0,0,0,0
up2.conv.0,ConvTranspose2d,"(1, 512, 4, 4)",8388608,8388608,"8,388,608","8,388,608"
up2.conv.1,InstanceNorm2d,"(1, 512, 4, 4)",0,0,0,0
up2.conv.2,ReLU,"(1, 512, 4, 4)",0,0,0,0
up2.conv,Sequential,"(1, 512, 4, 4)",0,0,0,0
up2.dropout,Dropout,"(1, 512, 4, 4)",0,0,0,0
up2,UNetBlock,"(1, 512, 4, 4)",0,0,0,0
up3.conv.0,ConvTranspose2d,"(1, 512, 8, 8)",8388608,8388608,"8,388,608","8,388,608"
up3.conv.1,InstanceNorm2d,"(1, 512, 8, 8)",0,0,0,0
up3.conv.2,ReLU,"(1, 512, 8, 8)",0,0,0,0
up3.conv,Sequential,"(1, 512, 8, 8)",0,0,0,0
up3.dropout,Dropout,"(1, 512, 8, 8)",0,0,0,0
up3,UNetBlock,"(1, 512, 8, 8)",0,0,0,0
up4.conv.0,ConvTranspose2d,"(1, 256, 16, 16)",4194304,4194304,"4,194,304","4,194,304"
up4.conv.1,InstanceNorm2d,"(1, 256, 16, 16)",0,0,0,0
up4.conv.2,ReLU,"(1, 256, 16, 16)",0,0,0,0
up4.conv,Sequential,"(1, 256, 16, 16)",0,0,0,0
up4,UNetBlock,"(1, 256, 16, 16)",0,0,0,0
up5.conv.0,ConvTranspose2d,"(1, 128, 32, 32)",1572864,1572864,"1,572,864","1,572,864"
up5.conv.1,InstanceNorm2d,"(1, 128, 32, 32)",0,0,0,0
up5.conv.2,ReLU,"(1, 128, 32, 32)",0,0,0,0
up5.conv,Sequential,"(1, 128, 32, 32)",0,0,0,0
up5,UNetBlock,"(1, 128, 32, 32)",0,0,0,0
up6.conv.0,ConvTranspose2d,"(1, 64, 64, 64)",393216,393216,"393,216","393,216"
up6.conv.1,InstanceNorm2d,"(1, 64, 64, 64)",0,0,0,0
up6.conv.2,ReLU,"(1, 64, 64, 64)",0,0,0,0
up6.conv,Sequential,"(1, 64, 64, 64)",0,0,0,0
up6,UNetBlock,"(1, 64, 64, 64)",0,0,0,0
up7.conv.0,ConvTranspose2d,"(1, 64, 128, 128)",196608,196608,"196,608","196,608"
up7.conv.1,InstanceNorm2d,"(1, 64, 128, 128)",0,0,0,0
up7.conv.2,ReLU,"(1, 64, 128, 128)",0,0,0,0
up7.conv,Sequential,"(1, 64, 128, 128)",0,0,0,0
up7,UNetBlock,"(1, 64, 128, 128)",0,0,0,0
final_up.0,ConvTranspose2d,"(1, 1, 256, 256)",2049,2049,"2,049","2,049"
final_up.1,Tanh,"(1, 1, 256, 256)",0,0,0,0
final_up,Sequential,"(1, 1, 256, 256)",0,0,0,0
Generator,Generator,"(1, 1, 256, 256)",0,0,0,0
